seed	datasetindex	modeltype	nsites	oddsdeltatrain	oddsdelta
10	8	mice	1	20.137517186306862	20.747789216929405
11	8	mice	1	19.5636382541611	20.1188098024897
12	8	mice	1	20.18830629501736	20.952193680566854
13	8	mice	1	19.488861530475514	20.091693020752125
14	8	mice	1	23.314946229511477	23.85142035734249
15	8	mice	1	Inf	Inf
1	9	mice	1	Inf	Inf
2	9	mice	1	32.34742471596546	34.75054391254398
3	9	mice	1	36.717365113530015	38.89108293985315
4	9	mice	1	44.69563787207616	46.75141510739834
5	9	mice	1	38.78009488425736	40.804794520028885
6	9	mice	1	33.89888822849813	35.69996324278352
7	9	mice	1	34.502582216276835	36.86459606517743
8	9	mice	1	35.04049997078138	37.687097089311635
9	9	mice	1	32.643759364262166	34.71717341756785
10	9	mice	1	34.18480688667637	37.02351155886591
11	9	mice	1	28.726197447366197	30.862267056191563
12	9	mice	1	30.83741351237222	33.088798589875395
13	9	mice	1	40.52410322178517	42.425758023593154
14	9	mice	1	32.925268335285004	34.40307301023603
15	9	mice	1	29.955862639458385	31.14722373599759
1	10	mice	1	12.05482476526791	13.432243287604626
2	10	mice	1	19.671744113662573	21.177991478529172
3	10	mice	1	16.85232775970322	18.259214064834303
4	10	mice	1	17.1758604354599	18.68230409941116
5	10	mice	1	18.208941421914794	20.237603848751757
6	10	mice	1	18.31868547991043	19.774127236055783
7	10	mice	1	16.75911976188134	18.6324956252634
8	10	mice	1	24.01906512303222	25.811083879005253
9	10	mice	1	14.1051011653911	14.985929752781253
10	10	mice	1	15.468852858319742	16.913763889209633
11	10	mice	1	14.002704747547314	15.431242898132963
12	10	mice	1	10.52545293015791	12.095963759618918
13	10	mice	1	10.940313041969638	12.424497873965008
14	10	mice	1	15.687640548623438	17.010070208650067
15	10	mice	1	15.002095838569797	16.082188599186658
1	1	mice	2	13.897560218675162	18.874185316037604
2	1	mice	2	15.264505964178047	18.390478125235386
3	1	mice	2	19.684025166389883	24.320140779465028
4	1	mice	2	22.524397590990613	21.000735917011376
5	1	mice	2	15.744721623735666	17.96198831977967
6	1	mice	2	22.4897111467662	24.004121001199405
7	1	mice	2	11.597051479873151	15.43279233216825
8	1	mice	2	14.208448026314194	18.084134603116546
9	1	mice	2	21.076266525626085	23.71909739099115
10	1	mice	2	15.08140366091972	20.41403468553765
11	1	mice	2	11.677327829183767	14.129046860828318
12	1	mice	2	20.60411292951252	21.286524577296376
13	1	mice	2	22.33982211864752	30.225388408633613
14	1	mice	2	14.033635889762584	15.807664083435032
15	1	mice	2	21.052290511789817	25.388603849347167
1	2	mice	2	5.372199809591256	10.203426131127914
2	2	mice	2	15.782982154084035	16.462810835348435
3	2	mice	2	9.969420950399364	10.491610835400545
4	2	mice	2	11.753707642074579	12.447923453838607
5	2	mice	2	35.434516029839365	36.14191243282515
6	2	mice	2	8.824792165491356	10.286130517064018
7	2	mice	2	24.626889613304847	25.678045583043325
8	2	mice	2	8.967114207133179	9.436083906434915
9	2	mice	2	5.038689742736848	7.507891130730697
10	2	mice	2	8.170314430260252	10.883122539611682
11	2	mice	2	5.054043002917556	9.143817048226387
12	2	mice	2	7.202296074414578	11.726863854292152
13	2	mice	2	11.574688875549771	12.093988703071835
14	2	mice	2	7.615306698556403	13.113939303888433
15	2	mice	2	10.978565001874646	11.806688667172603
1	3	mice	2	8.560350145583113	12.340043412781545
2	3	mice	2	5.898485526698552	9.398470303575927
3	3	mice	2	10.054824230489942	14.227315160914065
4	3	mice	2	11.449643473673783	15.720908918774006
5	3	mice	2	8.66670098971651	17.065199189784973
6	3	mice	2	7.312358624440609	13.439620896149494
7	3	mice	2	14.329989028300536	25.996024131704306
8	3	mice	2	13.690147784807081	20.26458015962878
9	3	mice	2	8.252650327349235	15.272399268741012
10	3	mice	2	12.503138623576772	21.566480460231517
11	3	mice	2	6.888267149148109	17.397478886035866
12	3	mice	2	7.060278229115547	13.739269615064218
13	3	mice	2	13.078435941222459	18.904617441997676
14	3	mice	2	19.950341217442293	30.545005463522084
15	3	mice	2	15.151254293173865	21.16581003598248
1	4	mice	2	12.040575845909363	21.701420975245618
2	4	mice	2	10.639697307978073	19.300176631819433
3	4	mice	2	12.459331713253787	27.45039021037407
4	4	mice	2	8.880794468990604	21.630175184695133
5	4	mice	2	10.675045843848318	23.989979296691004
6	4	mice	2	10.401821320556207	22.617307604658862
7	4	mice	2	12.169002973954766	21.284442020714526
8	4	mice	2	13.299414395849867	27.264892485334585
9	4	mice	2	10.237035754712823	18.983534714752064
10	4	mice	2	12.008396166399068	23.20473620925082
11	4	mice	2	10.370939079823682	22.601970463798335
12	4	mice	2	12.861289511880612	24.511216652026786
13	4	mice	2	11.295132160852422	25.852943469087613
14	4	mice	2	10.39892928657544	19.390555444178386
15	4	mice	2	11.421143033211354	22.47282134311736
1	5	mice	2	7.939190559595914	16.50264112414223
2	5	mice	2	13.910143063147183	14.687511888681392
3	5	mice	2	12.878103696879434	13.705499416914062
4	5	mice	2	9.46952154401836	11.002898218979178
5	5	mice	2	12.160273494195998	13.110245906939547
6	5	mice	2	10.791737548693247	18.7232962621967
7	5	mice	2	13.204782875178472	23.864367621198987
8	5	mice	2	9.620208175709639	16.001922220902994
9	5	mice	2	10.845961703046504	18.43200516884714
10	5	mice	2	20.02586317771791	20.783374792247162
11	5	mice	2	13.38783421995694	14.208768814697562
12	5	mice	2	10.859606099093908	17.157025137030463
13	5	mice	2	11.199718472727426	18.70817344339416
14	5	mice	2	11.271869581795267	15.38063331685153
15	5	mice	2	9.339016511355545	15.417220369536185
1	6	mice	2	11.253558658305309	18.09611057483168
2	6	mice	2	21.28097095146311	22.26937795671878
3	6	mice	2	14.602746434817659	15.582234898106446
4	6	mice	2	16.106665670172585	17.233748247405828
5	6	mice	2	18.08605325060013	18.94383790451842
6	6	mice	2	13.819930235014283	14.696610489641246
7	6	mice	2	13.056562615025344	13.86275734105191
8	6	mice	2	14.150120680806824	18.849711631405384
9	6	mice	2	13.05764887577476	14.037381691068699
10	6	mice	2	18.438402033413904	19.457705843990666
11	6	mice	2	Inf	Inf
12	6	mice	2	Inf	Inf
13	6	mice	2	Inf	Inf
14	6	mice	2	14.44663724200815	15.413195982710837
15	6	mice	2	12.03975966551356	12.66829756424138
1	7	mice	2	17.50090769224979	18.004103985131778
2	7	mice	2	8.95603185674305	10.805045313469977
3	7	mice	2	13.90555795981355	13.984418057231718
4	7	mice	2	8.39544628193095	9.32731708000044
5	7	mice	2	12.915367831718576	13.205022752005947
6	7	mice	2	11.490697365938637	11.689109744970585
7	7	mice	2	6.233216792560856	9.297374626673395
8	7	mice	2	8.96308444802089	14.797252872935895
9	7	mice	2	15.955700385232962	16.275774241275894
10	7	mice	2	7.668151444747971	9.548235470350008
